hotel,price,score,avg review,reviews count
Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck,"$3,396","8.6
Scored 8.6",Excellent,"1,265"
The West Hollywood EDITION,"$15,157","8.4
Scored 8.4",Very Good,142
Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,"$4,070","8.7
Scored 8.7",Excellent,"1,183"
Ramada by Wyndham Culver City,"$2,626","6.3
Scored 6.3",Review score,378
La Quinta by Wyndham LAX,"$2,409","7.1
Scored 7.1",Good,"6,521"
Cityscape Luxury Rental Homes in the Heart of Los Angeles,"$4,686","8.9
Scored 8.9",Excellent,496
Hollywood Historic Hotel,"$4,088","8.0
Scored 8.0",Very Good,"3,943"
Short Stories Hotel,"$4,601","8.6
Scored 8.6",Excellent,643
"O Hotel by LuxUrban, Trademark Collection by Wyndham","$3,175","8.0
Scored 8.0",Very Good,"2,257"
Super 8 by Wyndham Los Angeles-Culver City Area,"$2,414","7.8
Scored 7.8",Good,969
Los Angeles 3BR Villa Suites with Free Parking,"$9,322","8.5
Scored 8.5",Very Good,96
Modern Apartment Rentals,"$3,941","8.3
Scored 8.3",Very Good,"1,223"
Hotel Aventura,"$3,759","8.4
Scored 8.4",Very Good,"1,337"
Beverly Hills Spanish,"$3,026","8.1
Scored 8.1",Very Good,181
Moxy Downtown Los Angeles,"$4,547","8.0
Scored 8.0",Very Good,369
Sonesta Los Angeles Airport LAX,"$2,964","7.6
Scored 7.6",Good,"7,464"
The Adler a Hollywood Hotel,"$3,014","8.1
Scored 8.1",Very Good,"3,665"
Courtyard by Marriott Los Angeles Westside,"$3,975","7.8
Scored 7.8",Good,694
Loews Hollywood Hotel,"$5,775","8.5
Scored 8.5",Very Good,"4,298"
4 Star Motel,"$1,884","6.6
Scored 6.6",Review score,12
Hotel Sofitel Los Angeles at Beverly Hills,"$6,499","8.1
Scored 8.1",Very Good,"1,232"
Dunes Inn - Wilshire,"$3,632","7.9
Scored 7.9",Good,"1,701"
The Delphi Hotel,"$3,478","8.1
Scored 8.1",Very Good,"1,544"
Travelodge by Wyndham Culver City,"$2,826","7.0
Scored 7.0",Good,"1,399"
E Central Hotel Downtown Los Angeles,"$6,197","8.4
Scored 8.4",Very Good,"1,914"
"Kimpton Everly Hotel Hollywood, an IHG Hotel","$5,678","8.1
Scored 8.1",Very Good,"1,445"
Best Western Burbank Airport Inn,"$2,592","8.0
Scored 8.0",Very Good,919
